SKU,Items Name,Details ,Unit,Item_Type,VAT,Max_Unit_Rate,Unit_Rate_Excl_VAT,Vat_Amnt,Final_Rate,Discount_percent,Discount_amount
25001,FLOOR CHIPPING  Chipping and cleaning the floor before patent stone casting and mosaic work or other finishing materials used. The chipping must be smoothly with sharpen chisel and clean all sand cement and other debris to a suitable place out side of site etc.complete in all respect as per design drawing and direction of Architect/ Authority.,Required thikness,sft, Service ,15%,5.23,4.35,0.65,5,4.35%,0.23
25002,"NEAT CEMENT FINISH  Neat Cement Finishing Work simultaneously done on Patent  stone/concrete surface using cement screened  through fine cloth in the form of cement slurry, rubbing smooth with steel trowel, scaffolding, curing for 10 days etc. complete in all respect as per design drawing and direction of Architect/ Authority.",2nd class sand/ cement -Holcim/Scan,sft, Service ,15%,18.82,15.65,2.35,18,4.35%,0.82
25003,"CEMENT PLASTER Minimum 1/2? thick cement plaster [1:5] to vault ceiling & wall finishing the corners and edges in/c cleaning the surface, scaffolding and curing at least for 7 days etc. complete in all respect as per design drawing and direction of Architect/Authority.",Standard Quality,sft, Service ,15%,26.14,22.61,3.39,26,0.52%,0.14
25004,"CEMENT PLASTER Minimum 3/4? thick cement plaster [1:5] to wall both inner and outer surface, finishing the corners and edges in/c cleaning the surface, scaffolding and curing at least for 7 days etc. complete in all respect as per design drawing and direction of Architect/Authority.",Standard Quality,sft, Service ,15%,26.14,22.61,3.39,26,0.52%,0.14
25005,"PLASTIC PAINT Plastic painting of ?Berger? brand of approved color to wall minimum 3 coats with lime putty work, cleaning, sand papering the surfaces in/c. necessary scaffolding etc. complete in all respect as per direction of Architect/ Authority. ",Berger, sft , Service ,15%,18.82,15.65,2.35,18,4.35%,0.82
25006,"ENAMEL PAINT Synthetic Enamel paint of ?Berger? brand of approved color to wall, ceiling, wooden surfaces, iron grills, shutters etc. minimum 2 coats over a coat of priming including cleaning, finishing and polishing with sand paper and necessary scaffolding etc. complete in all respect as per direction of Architect/Authority.",Berger, sft , Service ,15%,20.91,17.39,2.61,20,4.35%,0.91
25007,TEMPERED GLASS DOOR Reused Dismantling & Relocating old Tempered Glass Door from previous location to new location ,,Nos, Service ,15%,2927.27,2545.22,381.78,2927,0.01%,0.27
25008,OLD FRAMELESS GLASS PARTITION reuse to others premises,,sft, Service ,15%,83.64,72.17,10.83,83,0.76%,0.64
25009,Networking port repair,,Nos, Service ,15%,261.36,226.96,34.04,261,0.14%,0.36
25010,Signboard servicing,,sft, Service ,15%,88.86,76.52,11.48,88,0.97%,0.86
